address,location,filepath,vulnerability,severity,column,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0xCD8237f2b332e482DaEaA609D9664b739e93097d.sol,1579,/bdata2/sc/dataset/mainnet/0xCD8237f2b332e482DaEaA609D9664b739e93097d.sol,SOLIDITY_TX_ORIGIN,2,34,0.8.9,SWC-115
/bdata2/sc/dataset/mainnet/0xCD8237f2b332e482DaEaA609D9664b739e93097d.sol,1594,/bdata2/sc/dataset/mainnet/0xCD8237f2b332e482DaEaA609D9664b739e93097d.sol,SOLIDITY_TX_ORIGIN,2,33,0.8.9,SWC-115
/bdata2/sc/dataset/mainnet/0xCD8237f2b332e482DaEaA609D9664b739e93097d.sol,1606,/bdata2/sc/dataset/mainnet/0xCD8237f2b332e482DaEaA609D9664b739e93097d.sol,SOLIDITY_TX_ORIGIN,2,32,0.8.9,SWC-115
/bdata2/sc/dataset/mainnet/0xCD8237f2b332e482DaEaA609D9664b739e93097d.sol,1621,/bdata2/sc/dataset/mainnet/0xCD8237f2b332e482DaEaA609D9664b739e93097d.sol,SOLIDITY_TX_ORIGIN,2,31,0.8.9,SWC-115
/bdata2/sc/dataset/mainnet/0xCD8237f2b332e482DaEaA609D9664b739e93097d.sol,2043,/bdata2/sc/dataset/mainnet/0xCD8237f2b332e482DaEaA609D9664b739e93097d.sol,SOLIDITY_TX_ORIGIN,2,40,0.8.9,SWC-115
/bdata2/sc/dataset/mainnet/0x8B37Af33127AEb54D9E602F98C53f279F46ACf15.sol,1341,/bdata2/sc/dataset/mainnet/0x8B37Af33127AEb54D9E602F98C53f279F46ACf15.sol,SOLIDITY_TX_ORIGIN,2,28,0.8.9,SWC-115
/bdata2/sc/dataset/mainnet/0xb27475A3fca2a45e8aE46672d2300f26141041B3.sol,1011,/bdata2/sc/dataset/mainnet/0xb27475A3fca2a45e8aE46672d2300f26141041B3.sol,SOLIDITY_TX_ORIGIN,2,16,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xe35ebc220fc911163671db7b697492c0e130d56c.sol,603,/bdata2/sc/dataset/mainnet/0xe35ebc220fc911163671db7b697492c0e130d56c.sol,SOLIDITY_TX_ORIGIN,2,43,0.8.0,SWC-115
/bdata2/sc/dataset/mainnet/0xe35ebc220fc911163671db7b697492c0e130d56c.sol,605,/bdata2/sc/dataset/mainnet/0xe35ebc220fc911163671db7b697492c0e130d56c.sol,SOLIDITY_TX_ORIGIN,2,35,0.8.0,SWC-115
/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,324,/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,SOLIDITY_TX_ORIGIN,2,43,0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,407,/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,SOLIDITY_TX_ORIGIN,2,39,0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,408,/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,SOLIDITY_TX_ORIGIN,2,42,0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,408,/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,SOLIDITY_TX_ORIGIN,2,83,0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,410,/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,SOLIDITY_TX_ORIGIN,2,41,0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,430,/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,SOLIDITY_TX_ORIGIN,2,47,0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,434,/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,SOLIDITY_TX_ORIGIN,2,44,0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,453,/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,SOLIDITY_TX_ORIGIN,2,47,0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,457,/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,SOLIDITY_TX_ORIGIN,2,44,0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,460,/bdata2/sc/dataset/mainnet/0x1d9489f8c87ec8f3a20e7aca4bb2f489a3b25282.sol,SOLIDITY_TX_ORIGIN,2,22,0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0x5d0d76787d9d564061dd23f8209f804a3b8ad2f2.sol,674,/bdata2/sc/dataset/mainnet/0x5d0d76787d9d564061dd23f8209f804a3b8ad2f2.sol,SOLIDITY_TX_ORIGIN,2,26,v0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0x10d7a2ed0eecf1a1b26e9deddcbd9fa96c8c3ff2.sol,1270,/bdata2/sc/dataset/mainnet/0x10d7a2ed0eecf1a1b26e9deddcbd9fa96c8c3ff2.sol,SOLIDITY_TX_ORIGIN,2,51,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0xb06f782b5975a87bf9857e9c4aab9d337f0fc84a.sol,1348,/bdata2/sc/dataset/mainnet/0xb06f782b5975a87bf9857e9c4aab9d337f0fc84a.sol,SOLIDITY_TX_ORIGIN,2,16,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0x5af699bc36ed407ef7aaf41446b532a7b7f83981.sol,1575,/bdata2/sc/dataset/mainnet/0x5af699bc36ed407ef7aaf41446b532a7b7f83981.sol,SOLIDITY_TX_ORIGIN,2,27,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0x5af699bc36ed407ef7aaf41446b532a7b7f83981.sol,1576,/bdata2/sc/dataset/mainnet/0x5af699bc36ed407ef7aaf41446b532a7b7f83981.sol,SOLIDITY_TX_ORIGIN,2,24,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0x258520cD0A84e48496304d4221Ae3cae1ac24bd9.sol,228,/bdata2/sc/dataset/mainnet/0x258520cD0A84e48496304d4221Ae3cae1ac24bd9.sol,SOLIDITY_TX_ORIGIN,2,55,0.8.17,SWC-115
