address,vulnerability,compiler,SWC_ID,tools
0x324b9b9d601a6BD4c5074DBDdF1af4E0374F4191,AccessibleSelfdestruct,7,SWC-106,ethainter
0xfaac705fb942836070fd11c6fb1bd784e9ce48a5,AccessibleSelfdestruct,4,SWC-106,ethainter
0x56ef98199fb28abdccd3b408885ce7168c9fa9fe,AccessibleSelfdestruct,4,SWC-106,ethainter
0x86f14ef10cc13e7f618785d6f33f88208a8e6ffa,AccessibleSelfdestruct,5,SWC-106,ethainter
0x43ca380243f9f96a6f490e7fed861007e324c3cf,AccessibleSelfdestruct,5,SWC-106,ethainter
0x7be09720d0561615f2383860de0129bbd93bb808,AccessibleSelfdestruct,4,SWC-106,ethainter
0xcca9fc3289157a3197ce467e253d99e23c2cb19b,AccessibleSelfdestruct,4,SWC-106,ethainter
0xccde0979c277df4036b6de1af37219515f79f834,AccessibleSelfdestruct,8,SWC-106,ethainter
0x149667b6fae2c63d1b4317c716b0d0e4d3e2bd70,AccessibleSelfdestruct,8,SWC-106,ethainter
0xc1f22EF0565C04A65C7044fF8C0668794126126D,AccessibleSelfdestruct,8,SWC-106,ethainter
0x0822902D30CC9c77404e6eB140dC1E98aF5b559A,AccessibleSelfdestruct,8,SWC-106,ethainter
0x0Ae88A825380Bf312Da6Aa5fD7A14E410E4678ae,AccessibleSelfdestruct,8,SWC-106,ethainter
0x565b1fd4DB5971ab8777dFb13CF5Ffa94C7491c6,AccessibleSelfdestruct,8,SWC-106,ethainter
0xF52551F95ec4A2B4299DcC42fbbc576718Dbf933,AccessibleSelfdestruct,8,SWC-106,ethainter
0x7696CbA9c033e292f5eD87819e039bB4cC01e935,AccessibleSelfdestruct,6,SWC-106,ethainter
0xc715993c1771A9B584872E2df8648a729F215DcD,AccessibleSelfdestruct,8,SWC-106,ethainter
0x74368A4a3892349837F198795CDaA12CB0B66763,AccessibleSelfdestruct,8,SWC-106,ethainter
0x0135c9a7bff72aa26e1d105ff5000e454e4dde7a,AccessibleSelfdestruct,4,SWC-106,ethainter
0xe886BDA225fd59a6723A08a6962C54Fc722a785a,AccessibleSelfdestruct,8,SWC-106,ethainter
0x54df6e2D8f0E9a015Bf804b64ed8e9BAd6ccbaca,AccessibleSelfdestruct,4,SWC-106,ethainter
0xD5586EF251b2fbe32a03F226868E581C9f1aa261,AccessibleSelfdestruct,4,SWC-106,ethainter
0x52a668b3b192e55ccbf611375bd021aebe0e47be,AccessibleSelfdestruct,7,SWC-106,ethainter
0xbbd3933cea86ec6ffe722f817034c469bcbaf4c4,AccessibleSelfdestruct,5,SWC-106,ethainter
0x8e5afc69f6227a3ad75ed346c8723bc62ce97123,AccessibleSelfdestruct,4,SWC-106,ethainter
0x7F94549eeF56af4f8D7420b8c8A674251b52B363,AccessibleSelfdestruct,4,SWC-106,ethainter
0xd88915AF44b3101D93098b18670C0a5F9bc50322,AccessibleSelfdestruct,8,SWC-106,ethainter
0x4eb6e5c7fbf7b6850912f893b85bb87109e86a1f,AccessibleSelfdestruct,7,SWC-106,ethainter
0x9b051e8eaef06532e436ef7b44554f185dc39bfb,AccessibleSelfdestruct,8,SWC-106,ethainter
0xb3EeE32cae9ecc667eB7E33B365696f79B304f0F,AccessibleSelfdestruct,7,SWC-106,ethainter
0xc45a3f5c584592ec595b630f5eca707a727abead,AccessibleSelfdestruct,8,SWC-106,ethainter
0x118460018452a1E9f1f75Eaf8827D76B42f47E39,AccessibleSelfdestruct,6,SWC-106,ethainter
0xdad2d902dbee2dfe545ba687ede92f6a69db3828,AccessibleSelfdestruct,7,SWC-106,ethainter
0x82fb462380e526ff6b3ba09ad5d8dd1907e01330,AccessibleSelfdestruct,8,SWC-106,ethainter
0xe75df3c68906f6adbe17e87d4e22509fde24c339,AccessibleSelfdestruct,4,SWC-106,ethainter
0xd489ffaeeb46b2d7e377850d45e1f8ca3350fc82,AccessibleSelfdestruct,8,SWC-106,ethainter
0x287778F121F134C66212FB16c9b53eC991D32f5b,AccessibleSelfdestruct,8,SWC-106,ethainter
0x0a5e900E8261F826484BD96F0da564C5bB365Ffa,AccessibleSelfdestruct,8,SWC-106,ethainter
